,收益率
2022-07-19,-0.03619961100841875
2022-07-20,-0.03495404480795292
2022-07-21,-0.03551508515140497
2022-07-22,-0.03604930073883417
2022-07-23,-0.035821002143670164
2022-07-24,-0.035571852767906705
2022-07-25,-0.036427813499678954
2022-07-26,-0.03530273938862814
2022-07-27,-0.0325560047142807
2022-07-28,-0.031756418718406405
2022-07-29,-0.030809822457308157
2022-07-30,-0.02895628619677211
2022-07-31,-0.027236894070398747
2022-08-01,-0.02698058596441292
2022-08-02,-0.0244567693328582
2022-08-03,-0.020483402660243382
2022-08-04,-0.0184683261604984
2022-08-05,-0.016913000677385475
2022-08-06,-0.014978425173566933
2022-08-07,-0.013161789299304798
2022-08-08,-0.01292572479645874
2022-08-09,-0.010568113521366187
2022-08-10,-0.007448329341291484
2022-08-11,-0.0063180980551569045
2022-08-12,-0.0059715387888936225
2022-08-13,-0.005293365485556415
2022-08-14,-0.004984924887288452
2022-08-15,-0.006334615146445374
2022-08-16,-0.006727226791491293
2022-08-17,-0.004749934656759589
2022-08-18,-0.005495029199452322
2022-08-19,-0.006900763883044862
2022-08-20,-0.008026185920735271
2022-08-21,-0.009094023457028247
2022-08-22,-0.011943205285188831
2022-08-23,-0.012967735120299709
2022-08-24,-0.012849069447283628
2022-08-25,-0.014584937868607527
2022-08-26,-0.01687478771914816
2022-08-27,-0.018819611708853084
2022-08-28,-0.02075962446436924
2022-08-29,-0.024131374590998095
2022-08-30,-0.02546241655539242
2022-08-31,-0.025934874092466694
2022-09-01,-0.027573424368602367
2022-09-02,-0.02958039949741083
2022-09-03,-0.030936550197847117
2022-09-04,-0.032283697218304465
2022-09-05,-0.03413580914742567
2022-09-06,-0.03463558909271114
2022-09-07,-0.033416638511718076
2022-09-08,-0.03377272915383695
2022-09-09,-0.03432830772776172
2022-09-10,-0.03424084736382437
2022-09-11,-0.034040823446474786
2022-09-12,-0.03550589465913171
2022-09-13,-0.034355039300535954
2022-09-14,-0.032081395754082864
2022-09-15,-0.03147638638327073
2022-09-16,-0.030877235191528903
2022-09-17,-0.029919304844069988
2022-09-18,-0.02891731542743634
2022-09-19,-0.0289670720306838
2022-09-20,-0.026880522391578565
2022-09-21,-0.024196542368656603
2022-09-22,-0.022648797917026817
2022-09-23,-0.021764397333041096
2022-09-24,-0.01987698899495588
2022-09-25,-0.018350129061138167
2022-09-26,-0.018370867783180398
2022-09-27,-0.01622611660531326
2022-09-28,-0.012981866636118326
2022-09-29,-0.011394434077906936
2022-09-30,-0.010454904831903124
2022-10-01,-0.008819355878474898
2022-10-02,-0.0075345831638285315
2022-10-03,-0.007927273388235784
2022-10-04,-0.0059868417285427215
2022-10-05,-0.0038585728692814773
2022-10-06,-0.003944167053225418
2022-10-07,-0.003870011139236283
2022-10-08,-0.0038101893776617836
2022-10-09,-0.0035170000646257264
2022-10-10,-0.005360510474651206
2022-10-11,-0.004419882990257451
2022-10-12,-0.003027933906927419
2022-10-13,-0.002998892580025123
2022-10-14,-0.0036207282400664387
2022-10-15,-0.003203397615685916
2022-10-16,-0.0038069066528190892
2022-10-17,-0.005770389141061589
2022-10-18,-0.00527121636755271
2022-10-19,-0.004122715254734373
2022-10-20,-0.004651986849003273
2022-10-21,-0.0053690821954597455
2022-10-22,-0.005199093901357348
2022-10-23,-0.00517967315198236
2022-10-24,-0.006731418604504656
2022-10-25,-0.005312359811480912
2022-10-26,-0.0036744520315874774
2022-10-27,-0.0029007828281744645
2022-10-28,-0.00312415252878575
2022-10-29,-0.0021782067083692615
2022-10-30,-0.0015557916365917979
2022-10-31,-0.0024634943909704467
2022-11-01,-0.0008234584816011294
2022-11-02,0.0008042756243606331
2022-11-03,0.0011868170878888045
2022-11-04,0.0004044930079046859
2022-11-05,0.0008845430912664693
2022-11-06,0.0003328179412530846
2022-11-07,-0.0016527518259402262
2022-11-08,-0.0019146019797863377
2022-11-09,-0.0006882976967571349
2022-11-10,-0.0021516630342063013
2022-11-11,-0.003572194616931155
2022-11-12,-0.005136336266903403
2022-11-13,-0.006943981485550489
2022-11-14,-0.010939347923659005
2022-11-15,-0.012373070175489902
2022-11-16,-0.013220715430321515
2022-11-17,-0.01653141879410689
2022-11-18,-0.019438752201799227
